,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                    NCAA.COM,Sports,1609.71,0.718,100,100,100,225.346,26.344,28.802,7775.949,3.388,4.831
                NASCAR.COM,Sports,766.924,0.342,100,100,100,75.977,7.646,7.983,2887.474,2.648,3.765
                PGA Network,Sports,237.041,0.106,100,100,100,20.011,0.967,2.155,811.022,1.193,3.421
                    PGA.COM,Sports,232.381,0.104,100,100,100,19.801,0.957,2.133,802.414,1.193,3.453
            Time.com Sites,"News/Information, News/Information - General News",12632.164,5.638,100,100,100,809.852,52.229,72.481,26877.679,1.943,2.128
                TIME.COM,"News/Information, News/Information - General News",12226.235,5.457,100,100,100,787.151,49.917,65.482,26156.046,1.908,2.139
                Life,"Entertainment - News, Entertainment",390.669,0.174,100,100,100,16.434,1.888,5.817,558.64,3.379,1.43
                TIMEFORKIDS.COM,"Family & Youth - Kids, Family & Youth",197.483,0.088,100,100,100,8.03,0.821,1.076,258.695,3.175,1.31
                TECHNOLOGIZER.COM,"Technology, Technology - News",26.807,0.012,100,100,,,,,,,
            CNN Money,"Business/Finance, Business/Finance - News/Research",11208.484,5.003,100,100,100,949.407,106.972,98.771,34929.566,3.062,3.116
                CNNMONEY.COM,"Business/Finance - News/Research, Business/Finance",10810.562,4.825,100,100,100,921.168,104.364,96.75,33995.221,3.07,3.145
            Entertainment Weekly,"Entertainment - News, Entertainment",7148.362,3.19,100,100,100,629.43,37.128,36.81,21204.89,1.751,2.966
                EW.COM*,"Entertainment, Entertainment - News",7148.362,3.19,100,100,100,629.43,37.128,36.81,21204.89,1.751,2.966
            CNN-IB Websites,News/Information,4572.843,2.041,100,100,100,725.582,72.226,78.088,30322.21,2.382,6.631
                CLICK2HOUSTON,News/Information,779.866,0.348,100,100,100,200.333,10.478,11.525,6589.773,1.59,8.45
                    CLICK2HOUSTON.COM,News/Information,726.918,0.324,100,100,100,182.255,9.397,10.209,5992.269,1.568,8.243
                    CLICK2HOUSTON JUSTWEATHER,"News/Information - Weather, News/Information",19.5,0.009,100,100,,,,,,,
                CLICKONDETROIT,News/Information,776.303,0.346,100,100,100,124.064,12.285,12.063,4843.908,2.536,6.24
                    CLICKONDETROIT.COM,News/Information,736.571,0.329,100,100,100,115.594,10.745,10.224,4506.041,2.385,6.118
                    CLICKONDETROIT JUSTWEATHER,"News/Information, News/Information - Weather",83.346,0.037,100,100,,,,,,,
                CLICKORLANDO,News/Information,659.745,0.294,100,100,100,48.567,3.302,3.829,1621.686,2.036,2.458
                    CLICKORLANDO.COM,News/Information,652.448,0.291,100,100,100,47.088,3.164,3.697,1573.278,2.011,2.411
                CHANNEL3000.COM,News/Information,461.07,0.206,100,100,100,147.214,9.153,11.842,5029.421,1.82,10.908
                NEWS4JAX,News/Information,443.706,0.198,100,100,100,57.753,11.647,9.983,2469.982,4.715,5.567
                    NEWS4JAX.COM,News/Information,434.247,0.194,100,100,100,45.641,11.008,9.137,1915.205,5.748,4.41
                    NEWS4JAX JUSTWEATHER,"News/Information, News/Information - Weather",34.84,0.016,100,100,,,,,,,
                KSAT,News/Information,306.948,0.137,100,100,100,53.601,5.64,6.185,2015.22,2.799,6.565
                    KSAT.COM,News/Information,290.715,0.13,100,100,100,52.529,5.14,5.632,1974.915,2.603,6.793
                    KSAT JUSTWEATHER,"News/Information - Weather, News/Information",25.867,0.012,100,100,,,,,,,
                Local10,News/Information,275.968,0.123,100,100,100,50.454,3.394,3.701,1730.398,1.962,6.27
                    LOCAL10.COM,News/Information,269.888,0.12,100,100,100,45.228,3.063,3.413,1533.355,1.997,5.681
                    Local10 JustWeather,"News/Information - Weather, News/Information",11.207,0.005,100,100,,,,,,,
                WFMZ.COM,"News/Information - General News, News/Information",257.834,0.115,100,100,100,64.601,4.718,7.192,3308.274,1.426,12.831
                KRDO.COM,News/Information,244.518,0.109,100,100,100,34.839,1.283,1.765,1145.763,1.12,4.686
                WCTI12.COM,"Entertainment, Entertainment - TV",193.628,0.086,100,100,100,14.717,0.793,1.085,464.482,1.708,2.399
                WCYB.COM,"Entertainment - TV, Entertainment",124.654,0.056,100,100,100,11.935,1.001,1.644,448.2,2.232,3.596
                LOCALNEWS8.COM,News/Information,94.44,0.042,100,100,100,9.024,1.438,1.32,385.609,3.728,4.083
                NEWS8000.COM,"News/Information - General News, News/Information",89.993,0.04,100,100,,,,,,,
                KESQ.COM,"News/Information, News/Information - General News",46.404,0.021,100,100,,,,,,,
                NBCMONTANA.COM,"Entertainment, Entertainment - TV",44.663,0.02,100,100,,,,,,,
                KRCRTV.COM,"Entertainment - TV, Entertainment",43.762,0.02,100,100,,,,,,,
                KXLY.COM,Directories/Resources,39.338,0.018,100,100,100,3.173,0.097,0.12,182.89,0.532,4.649
                KVIA.COM,"News/Information, News/Information - General News",26.803,0.012,100,100,,,,,,,
                KTVZ.COM,News/Information,17.612,0.008,100,100,,,,,,,
                KTXS.COM,"News/Information - General News, News/Information",10.32,0.005,100,100,,,,,,,
                KJCT8.COM,News/Information,1.888,0.001,100,100,,,,,,,
            UPWAVE.COM,Health,346.493,0.155,100,100,100,13.097,0.457,0.539,416.97,1.097,1.203
        TBS Entertainment Digital,Entertainment,26884.939,11.999,100,100,100,2535.113,341.473,316.066,91344.278,3.738,3.398
            CNN Entertainment,"Entertainment - News, Entertainment",12548.469,5.601,100,100,100,2121.505,117.302,100.693,70498.019,1.664,5.618
            Adult Swim / Funny Or Die Network,"Entertainment - Humor, Entertainment",8488.484,3.789,100,100,100,508.592,58.402,60.14,18092.386,3.228,2.131
                Adult Swim,"Entertainment - Humor, Entertainment",3265.349,1.457,100,100,100,240.418,28.061,31.472,9310.446,3.014,2.851
                    ADULTSWIM.COM,"Entertainment - Humor, Entertainment",2597.596,1.159,100,100,100,204.397,23.417,27.126,7687.137,3.046,2.959
                    THESMOKINGGUN.COM,"Entertainment - News, Entertainment",690.166,0.308,100,100,100,46.193,3.777,3.451,1437.574,2.627,2.083
                    HEMPTYCOONGAME.COM,"Games - Online Gaming, Games",37.058,0.017,100,100,100,5.397,0.868,0.833,311.041,2.79,8.393
                FunnyorDie,"Entertainment - Humor, Entertainment",2743.641,1.225,100,100,100,140.719,9.406,11.749,4662.205,2.017,1.699
                    FUNNYORDIE.COM,"Entertainment - Humor, Entertainment",2743.641,1.225,100,100,100,140.719,9.406,11.749,4662.205,2.017,1.699
                TBS,"Entertainment, Entertainment - TV",1870.275,0.835,100,100,100,74.706,11.565,6.5,2759.715,4.191,1.476
                    TeamCoco,"Entertainment - TV, Entertainment",1536.927,0.686,100,100,100,59.234,10.035,5.169,2227.454,4.505,1.449
                        TEAMCOCO.COM,"Entertainment - TV, Entertainment",1493.866,0.667,100,100,100,56.09,9.547,4.883,2119.695,4.504,1.419
                        PETEHOLMES.COM,"Entertainment, Entertainment - TV",24.026,0.011,100,100,,,,,,,
                    TBS.COM,"Entertainment - TV, Entertainment",376.055,0.168,100,100,100,21.171,0.803,1.326,666.114,1.206,1.771
                TRUtv,"Entertainment, Entertainment - TV",1256.151,0.561,100,100,100,72.75,4.359,10.419,2401.629,1.815,1.912
                    TRUTV.COM,Entertainment,1253.001,0.559,100,100,100,72.69,4.357,10.414,2399.699,1.816,1.915
                        Impractical Jokers,"Entertainment - TV, Entertainment",68.989,0.031,100,100,100,2.786,0.214,0.287,88.375,2.426,1.281
                        Lizard Lick Towing,"Entertainment - TV, Entertainment",44.427,0.02,100,100,100,2.053,0.146,0.152,66.733,2.188,1.502
                        Hardcore Pawn,"Entertainment - TV, Entertainment",19.179,0.009,100,100,,,,,,,
                        South Beach Tow,"Entertainment, Entertainment - TV",16.935,0.008,100,100,,,,,,,
            Cartoon Network Online,"Family & Youth, Family & Youth - Kids",5907.714,2.637,100,100,100,435.507,136.685,133.29,18573.048,7.359,3.144
                CARTOONNETWORK.COM,"Family & Youth - Kids, Family & Youth",5580.56,2.491,100,100,100,414.359,135.284,126.43,17759.093,7.618,3.182
                NBAHOOPTROOP.COM,Entertainment,245.002,0.109,100,100,100,11.293,1.475,1.377,406.568,3.627,1.659
                CARTOONNETWORKSHOP.COM,Retail,147.027,0.066,100,100,100,7.269,0.534,1.147,229.637,2.325,1.562
                CARTOONNETWORK.CO.UK,"Family & Youth - Kids, Family & Youth",140.953,0.063,100,100,100,7.885,0.615,0.752,251.706,2.444,1.786
                EDEDDNEDDY.COM,"Family & Youth - Kids, Family & Youth",119.583,0.053,100,100,100,5.538,0.141,0.389,187.348,0.752,1.567
                CARTOONNETWORKHQ.NET,"Family & Youth - Kids, Family & Youth",78.653,0.035,100,100,100,3.672,0.68,1.085,127.74,5.32,1.624
                DEXTERSLAB.COM,"Family & Youth - Kids, Family & Youth",68.347,0.031,100,100,100,2.734,0.06,0.128,86.841,0.697,1.271
                CARTOONNETWORKASIA.COM,"Family & Youth, Family & Youth - Kids",44.841,0.02,100,100,100,1.926,0.554,0.526,62.447,8.869,1.393
                ADVENTURETIMEVIDEOGAMES.COM,"Family & Youth - Kids, Family & Youth",44.638,0.02,100,100,100,1.565,0.034,0.099,48.513,0.709,1.087
                BOOMERANGTV.CO.UK,"Family & Youth - Kids, Family & Youth",13.334,0.006,100,100,,,,,,,
                CARTOONNETWORKINDIA.COM,"Family & Youth, Family & Youth - Kids",9.16,0.004,100,100,,,,,,,
                CARTOONNETWORK.ES,"Family & Youth - Kids, Family & Youth",8.413,0.004,100,100,,,,,,,
                CARTOONNETWORKLA.COM,"Family & Youth - Kids, Family & Youth",6.451,0.003,100,100,,,,,,,
                CARTOONNETWORK.COM.AU,"Family & Youth - Kids, Family & Youth",4.906,0.002,100,100,,,,,,,
                TOONIX.COM,"Family & Youth - Kids, Family & Youth",4.275,0.002,100,100,,,,,,,
                CARTOONNETWORKAFRICA.COM,"Family & Youth - Kids, Family & Youth",2.7,0.001,100,100,,,,,,,
            HLNTV.COM,"Entertainment, Entertainment - News",1821.208,0.813,100,100,100,192.876,14.351,11.755,6147.169,2.335,3.375
            Turner Classic Movies,"Entertainment, Entertainment - Movies",840.947,0.375,100,100,100,50.946,9.346,8.594,1781.287,5.247,2.118
                TCM.COM,Entertainment,838.826,0.374,100,100,100,50.53,9.305,8.56,1768.01,5.263,2.108
                MOVIEMORLOCKS.COM,"Entertainment - Movies, Entertainment",10.819,0.005,100,100,,,,,,,
            TNT,Entertainment,340.499,0.152,100,100,100,14.374,0.987,1.54,469.27,2.104,1.378
                TNTDRAMA.COM,"Entertainment, Entertainment - TV",273.84,0.122,100,100,100,11.915,0.831,1.299,393.033,2.114,1.435
                    Perception,"Entertainment, Entertainment - TV",1.465,0.001,100,100,,,,,,,
                FALLINGSKIES.COM,"Entertainment, Entertainment - TV",29.851,0.013,100,100,,,,,,,
        TURNER.COM,Corporate Presence,128.151,0.057,100,100,100,25.135,0.292,0.471,2127.328,0.137,16.6
    eBay,Retail,73634.091,32.864,100,100,100,9960.363,3378.854,6086.65,501023.863,6.744,6.804
        eBay Sites,Retail,61824.996,27.593,100,100,100,8226.163,2965.097,5261.71,425489.811,6.969,6.882
            eBay U.S.,Retail,61356.69,27.384,100,100,100,8167.893,2955.103,5241.355,423013.4,6.986,6.894
                EBAY.COM*,Retail,60122.424,26.834,100,100,100,7953.984,2677.207,4782.649,410185.264,6.527,6.823
                eBay Motors U.S.,"Automotive - Resources, Automotive",9898.874,4.418,100,100,100,880.693,167.896,263.148,35925,4.674,3.629
                eBay Stores U.S.,Retail,5950.808,2.656,100,100,100,401.009,36.722,64.245,15784.66,2.326,2.653
                    EBAYSTORES.COM,Retail,5950.808,2.656,100,100,100,401.009,36.722,64.245,15784.66,2.326,2.653
"                eBay Clothing, Shoes & Accessories U.S.",Retail,4518.47,2.017,100,100,100,282.67,23.314,41.91,9960.947,2.341,2.204
                eBay Electronics U.S.,"Retail - Consumer Electronics, Retail",3776.377,1.685,100,100,100,187.389,7.323,12.161,6136.499,1.193,1.625
                eBay Sports U.S.,"Retail - Sports/Outdoor, Retail",3761.477,1.679,100,100,100,204.296,9.196,15.684,6790.823,1.354,1.805
                eBay Toys U.S.,Retail,3052.89,1.363,100,100,100,162.025,9.741,17.638,5519.5,1.765,1.808
                eBay Jewelry and Watches U.S.,Retail,2855.139,1.274,100,100,100,179.416,16.869,31.417,6447.407,2.616,2.258
                eBay Computers & Networking U.S.,"Retail, Retail - Computer Hardware",1953.483,0.872,100,100,100,102.88,4.936,9.494,3638.166,1.357,1.862
                eBay Tickets U.S.,"Retail - Tickets, Retail",506.508,0.226,100,100,100,22.81,1.832,2.648,780.013,2.349,1.54
                eBay Home U.S.,Retail,64.278,0.029,100,100,,,,,,,
                EBAYCAREERS.COM,Career Services and Development,42.11,0.019,100,100,,,,,,,
                EBay Fashion Vault,Retail,14.808,0.007,100,100,,,,,,,
                eBay Collectibles U.S.,Retail,10.551,0.005,100,100,,,,,,,
                eBay Entertainment U.S.,Retail,1.588,0.001,100,100,,,,,,,
                eBay Business & Industrial U.S.,Retail,0.755,0,100,100,,,,,,,
            eBay UK,Retail,2481.93,1.108,100,100,100,101.237,5.234,10.364,3254.779,1.608,1.311
                EBAY.CO.UK*,Retail,2412.504,1.077,100,100,100,98.419,5.05,10.03,3165.086,1.596,1.312
                eBay Shops UK,Retail,152.359,0.068,100,100,100,5.727,0.184,0.334,178.529,1.028,1.172
            EBAY.COM.AU,Retail,697.194,0.311,100,100,100,28.37,1.171,2.21,911.407,1.284,1.307
            eBay Canada,Retail,616.405,0.275,100,100,100,25.27,1.884,3.939,901.95,2.089,1.463
                EBAY.CA*,Retail,616.405,0.275,100,100,100,25.27,1.884,3.939,901.95,2.089,1.463
            EBAY.IN,Retail,191.48,0.085,100,100,100,6.913,0.388,1.164,220.284,1.761,1.15
            eBay Germany,Retail,121.658,0.054,100,100,100,5.16,0.259,0.59,165.379,1.567,1.359
                EBAY.DE*,Retail,117.179,0.052,100,100,100,4.927,0.255,0.576,156.887,1.627,1.339
            EBAY.IE,Retail,100.884,0.045,100,100,100,4.016,0.224,0.46,129.054,1.736,1.279
            eBay France,Retail,84.588,0.038,100,100,,,,,,,
                EBAY.FR*,Retail,84.588,0.038,100,100,,,,,,,
            EBAY.ES,Retail,73.674,0.033,100,100,100,3.594,0.289,0.531,120.055,2.407,1.63
            EBAY.COM.HK,Retail,52.396,0.023,100,100,100,1.924,0.085,0.183,59.643,1.426,1.138
            EBAY.PH,Retail,42.543,0.019,100,100,,,,,,,
            GIGAMOVES.COM,Real Estate,32.426,0.014,100,100,,,,,,,
            eBay Italy,Retail,26.324,0.012,100,100,,,,,,,
                EBAY.IT*,Retail,26.324,0.012,100,100,,,,,,,
            EBAY.COM.MY,Retail,17.697,0.008,100,100,,,,,,,
            EBAY.CN,Retail,9.781,0.004,100,100,,,,,,,
            eBay Austria,Retail,7.574,0.003,100,100,,,,,,,
                EBAY.AT*,Retail,7.574,0.003,100,100,,,,,,,
            EBAY.COM.SG,Retail,6.665,0.003,100,100,,,,,,,
            EBAY.BE,Retail,5.826,0.003,100,100,,,,,,,
            EBAY.COM.TW,Retail,5.44,0.002,100,100,,,,,,,
            EBAY.NL,Retail,2.618,0.001,100,100,,,,,,,
            EBAY.PL,Retail,1.264,0.001,100,100,,,,,,,
            MICROPLACE.COM,Services,0.114,0,100,100,,,,,,,
        PayPal,"Business/Finance - Personal Finance, Business/Finance",31840.187,14.211,100,100,100,2732.317,337.203,722.93,104091.357,3.239,3.269
            PAYPAL.COM,"Business/Finance, Business/Finance - Personal Finance",31840.187,14.211,100,100,100,2732.289,337.114,722.823,104073.803,3.239,3.269
            PAYPAL-PROMO.COM,Services,37.075,0.017,100,100,,,,,,,
        STUBHUB.COM,"Retail, Retail - Tickets",3954.639,1.765,100,100,100,205.054,30.126,34.763,7209.037,4.179,1.823
        Shopping.com Sites,"Retail, Retail - Comparison Shopping",3502.017,1.563,100,100,100,135.718,6.347,9.192,4363.503,1.455,1.246
            SHOPPING.COM,"Retail, Retail - Comparison Shopping",2266.875,1.012,100,100,100,85.079,3.893,5.517,2704.36,1.44,1.193
                Shopping.com US,"Retail, Retail - Comparison Shopping",2255.792,1.007,100,100,100,84.667,3.875,5.494,2683.562,1.444,1.19
                Shopping.com UK,"Retail, Retail - Comparison Shopping",10.056,0.004,100,100,,,,,,,
            EPINIONS.COM,"Retail, Retail - Comparison Shopping",1046.99,0.467,100,100,100,39.669,1.932,2.775,1309.464,1.475,1.251
            DEALTIME.COM,"Retail, Retail - Comparison Shopping",417.993,0.187,100,100,100,15.322,0.514,0.891,474.99,1.083,1.136
            DEALTIME.CO.UK,"Retail - Comparison Shopping, Retail",9.355,0.004,100,100,,,,,,,
        BILLMELATER.COM,Services,2207.274,0.985,100,100,100,138.726,17.318,30.387,4907.366,3.529,2.223
